,Theta,A-X (meter),A-Y (meter),B-X (meter),B-Y (meter),C-X (meter),C-Y (meter),D-X (meter),D-Y (meter),D0-X (meter),D0-Y (meter),A-X Vel (meter/sec),A-Y Vel (meter/sec),B-X Vel (meter/sec),B-Y Vel (meter/sec),C-X Vel (meter/sec),C-Y Vel (meter/sec),D-X Vel (meter/sec),D-Y Vel (meter/sec),D0-X Vel (meter/sec),D0-Y Vel (meter/sec),A-X Acc (meter/sec**2),A-Y Acc (meter/sec**2),B-X Acc (meter/sec**2),B-Y Acc (meter/sec**2),C-X Acc (meter/sec**2),C-Y Acc (meter/sec**2),D-X Acc (meter/sec**2),D-Y Acc (meter/sec**2),D0-X Acc (meter/sec**2),D0-Y Acc (meter/sec**2)
188,-1.037057123,0.026330234,0.015559876,-0.043522218,0.074987164,0.259995241,0.249303053,0.275189494,0.243371915,-0.029549982,0.063101706,-0.048880931,0.082667186,-0.048043359,0.083651888,0.286773587,-0.499322913,0.290670666,-0.489355843,-0.048210873,0.083454948,-0.259696739,-0.15356982,0.075537385,0.240524473,-0.450886925,-1.435704337,-0.475046979,-1.478182999,0.008490577,0.161705607
189,-0.984721692,0.025479863,0.016915709,-0.044311537,0.076414698,0.264706733,0.240782021,0.279962646,0.235011065,-0.030351512,0.0645149,-0.053140243,0.079995566,-0.04661941,0.08764594,0.278273952,-0.523163636,0.281779896,-0.513910553,-0.047923576,0.086115865,-0.251303916,-0.166951354,0.095529209,0.238261869,-0.570219391,-1.422198735,-0.592980358,-1.465301698,0.026162603,0.157219214
190,-0.932385589,0.024559702,0.018225177,-0.045074296,0.07790834,0.269259688,0.231866387,0.284570941,0.226243655,-0.031145751,0.065971707,-0.057253901,0.077104683,-0.044853301,0.091575718,0.267731945,-0.54662071,0.270870853,-0.538087015,-0.04733342,0.088681511,-0.242222286,-0.179875292,0.116552925,0.232716403,-0.695711297,-1.389097536,-0.716980103,-1.432213632,0.044797904,0.150198052
191,-0.880048754,0.023572271,0.019484691,-0.045804663,0.079466536,0.273619291,0.222565426,0.288979978,0.217078956,-0.031927531,0.067470167,-0.061210631,0.074002462,-0.042730328,0.095381687,0.255059795,-0.569338755,0.257857273,-0.561519176,-0.046426388,0.091105842,-0.232476741,-0.192306199,0.138289939,0.223306544,-0.825460961,-1.332929567,-0.845150398,-1.375391795,0.064136626,0.14018398
192,-0.827711128,0.022520279,0.020690799,-0.04649661,0.081086658,0.277749561,0.212894821,0.293154214,0.207532835,-0.032691487,0.069007486,-0.064999586,0.070697406,-0.040242101,0.098994549,0.240207424,-0.590904136,0.242690466,-0.58378195,-0.045193597,0.09333512,-0.222093994,-0.20421,0.16029883,0.209447305,-0.956833532,-1.250203013,-0.974864285,-1.29130861,0.083820287,0.126715824
193,-0.775372652,0.021406608,0.021840194,-0.047144036,0.082764845,0.281614084,0.20287763,0.297057697,0.197628724,-0.033432162,0.070579915,-0.068610381,0.067198572,-0.037388693,0.102335446,0.22317526,-0.610846145,0.225372083,-0.604392847,-0.043633029,0.095308071,-0.211102506,-0.215554077,0.182004301,0.190582458,-1.086395028,-1.137597688,-1.102701168,-1.176642903,0.103382959,0.109355128
194,-0.723033269,0.020234311,0.022929728,-0.047740929,0.084495844,0.285176971,0.192545198,0.300655015,0.187398543,-0.034144136,0.072182621,-0.072033121,0.063515552,-0.034180909,0.105316773,0.204027806,-0.628641855,0.20596754,-0.622817574,-0.04175135,0.096956528,-0.199532401,-0.22630734,0.202693808,0.166226155,-1.20989218,-0.992213539,-1.224432296,-1.028549723,0.12224858,0.087719431
195,-0.67069292,0.019006601,0.023956412,-0.048281561,0.086272881,0.288404032,0.181937961,0.303912469,0.176883474,-0.034822183,0.073809587,-0.075258423,0.059658441,-0.030642529,0.107843756,0.182907001,-0.643725562,0.18461913,-0.638480652,-0.039565706,0.098206692,-0.187415387,-0.236440311,0.221525674,0.13601331,-1.32230097,-0.811871338,-1.335077959,-0.844991748,0.139737466,0.061522563
196,-0.61835155,0.017726843,0.024917434,-0.048760722,0.08808756,0.291264175,0.171106041,0.306799452,0.166134527,-0.035461464,0.075453534,-0.078277446,0.055637809,-0.026812284,0.109816936,0.160044037,-0.655503587,0.161557413,-0.650782008,-0.037105315,0.098981109,-0.17478468,-0.245925215,0.237552714,0.099756404,-1.417967555,-0.595451773,-1.429061244,-0.625122612,0.155085225,0.030620063
197,-0.566009102,0.016398545,0.025810158,-0.049173985,0.089929809,0.293730965,0.160109546,0.309289995,0.155212758,-0.036057734,0.077105879,-0.081081917,0.051464679,-0.022745291,0.111135617,0.135767907,-0.663374874,0.13710907,-0.659120265,-0.034412615,0.099201428,-0.161674903,-0.254736057,0.249764724,0.057504367,-1.490861897,-0.343246907,-1.500480227,-0.369702613,0.167476772,-0.004943725
198,-0.513665524,0.015025348,0.026632139,-0.04951798,0.091787901,0.295784293,0.149018489,0.311364395,0.144189055,-0.036607569,0.078756749,-0.083664147,0.047150487,-0.018513604,0.111702275,0.110508708,-0.666757288,0.111699149,-0.662923024,-0.031543712,0.098791916,-0.14812198,-0.262848685,0.257151637,0.009596962,-1.534954795,-0.057284821,-1.543511659,-0.081517465,0.176096869,-0.044892159
199,-0.461320763,0.013611014,0.027381123,-0.049790678,0.093648543,0.29741204,0.137912209,0.313010819,0.133143347,-0.037108594,0.080395059,-0.086017061,0.042707059,-0.014205548,0.111427771,0.084793658,-0.665118758,0.085845478,-0.661683911,-0.02856785,0.097683628,-0.134163065,-0.270240861,0.258786377,-0.04329386,-1.544712424,0.258423565,-1.552943905,0.234236538,0.180196426,-0.088683232
200,-0.408974767,0.012159422,0.028055058,-0.049991641,0.095497067,0.298611599,0.126878263,0.31422674,0.122163164,-0.037559683,0.082008666,-0.088134207,0.038146574,-0.009923536,0.110237083,0.059234067,-0.658011471,0.060143269,-0.655005474,-0.02556567,0.09581898,-0.119836428,-0.276892324,0.253922486,-0.100145401,-1.515679102,0.59777367,-1.524815639,0.569641189,0.179170629,-0.135494735
201,-0.356627489,0.01067455,0.028652095,-0.050122231,0.097317713,0.2993911,0.116010726,0.315020017,0.111341421,-0.03796113,0.083584589,-0.090009783,0.033481532,-0.0057802,0.108075089,0.034502251,-0.645106404,0.035238508,-0.642646357,-0.022626117,0.093156377,-0.105181327,-0.282784843,0.242096996,-0.159597591,-1.445091318,0.952647136,-1.457111472,0.913863269,0.172641252,-0.18423497
202,-0.304278882,0.009160467,0.029170599,-0.050185736,0.099094003,0.299770163,0.105407947,0.315409444,0.100773418,-0.03831475,0.085109322,-0.091638649,0.028724719,-0.00189286,0.104911815,0.011298499,-0.626224643,0.011789783,-0.62457019,-0.01984202,0.089674396,-0.090237932,-0.287902268,0.223224634,-0.220004789,-1.332440102,1.313221019,-1.350437884,1.253162086,0.160532048,-0.233584197
203,-0.251928901,0.007621324,0.029609148,-0.050187389,0.100809201,0.299780031,0.095169832,0.315424563,0.090553032,-0.038623901,0.086569191,-0.09301634,0.023889174,0.001623394,0.100746486,-0.009690214,-0.601361554,-0.009580236,-0.600991114,-0.017304555,0.085375024,-0.075047201,-0.292230574,0.197666751,-0.279527442,-1.179882508,1.668514928,-1.208562867,1.571355059,0.143123905,-0.282067975
204,-0.199577507,0.006061339,0.029966541,-0.05013427,0.102446817,0.299462964,0.085394808,0.315104612,0.080768262,-0.038893403,0.087950762,-0.09413908,0.01898815,0.004663442,0.095609744,-0.027836419,-0.570700054,-0.028339777,-0.572402742,-0.015097065,0.080285427,-0.059650764,-0.295757904,0.166258642,-0.336257975,-0.992404642,2.007142471,-1.038605044,1.851548512,0.12107673,-0.328157874
205,-0.14722466,0.004484788,0.030241797,-0.050035076,0.103991135,0.298870864,0.076176686,0.314496565,0.071496647,-0.039129357,0.089241267,-0.09500379,0.014035081,0.007139895,0.089563581,-0.04261848,-0.534610166,-0.044099948,-0.53955529,-0.013288845,0.074457884,-0.044090824,-0.298474582,0.130283247,-0.388367748,-0.777664636,2.318188449,-0.8503977,2.081070117,0.095408433,-0.37038905
